V1	I(V1)
0.000000000000000e+00	1.195773e-01
1.000000000000000e-02	1.195240e-01
2.000000000000000e-02	1.194708e-01
3.000000000000000e-02	1.194175e-01
4.000000000000000e-02	1.193643e-01
5.000000000000000e-02	1.193111e-01
6.000000000000000e-02	1.192578e-01
7.000000000000001e-02	1.192046e-01
8.000000000000000e-02	1.191513e-01
9.000000000000000e-02	1.190981e-01
1.000000000000000e-01	1.190449e-01
1.100000000000000e-01	1.189916e-01
1.200000000000000e-01	1.189384e-01
1.300000000000000e-01	1.188851e-01
1.400000000000000e-01	1.188319e-01
1.500000000000000e-01	1.187787e-01
1.600000000000000e-01	1.187254e-01
1.700000000000000e-01	1.186722e-01
1.800000000000000e-01	1.186190e-01
1.900000000000000e-01	1.185657e-01
2.000000000000000e-01	1.185125e-01
2.100000000000000e-01	1.184592e-01
2.200000000000000e-01	1.184060e-01
2.300000000000000e-01	1.183528e-01
2.400000000000000e-01	1.182995e-01
2.500000000000000e-01	1.182463e-01
2.600000000000000e-01	1.181930e-01
2.700000000000000e-01	1.181398e-01
2.800000000000000e-01	1.180866e-01
2.900000000000000e-01	1.180333e-01
3.000000000000000e-01	1.179801e-01
3.100000000000000e-01	1.179268e-01
3.200000000000000e-01	1.178736e-01
3.300000000000000e-01	1.178204e-01
3.400000000000000e-01	1.177671e-01
3.500000000000000e-01	1.177139e-01
3.600000000000000e-01	1.176606e-01
3.700000000000000e-01	1.176073e-01
3.800000000000000e-01	1.175541e-01
3.900000000000000e-01	1.175008e-01
4.000000000000000e-01	1.174475e-01
4.100000000000000e-01	1.173941e-01
4.200000000000000e-01	1.173407e-01
4.300000000000000e-01	1.172872e-01
4.400000000000000e-01	1.172336e-01
4.500000000000000e-01	1.171799e-01
4.600000000000000e-01	1.171259e-01
4.700000000000000e-01	1.170715e-01
4.800000000000000e-01	1.170166e-01
4.900000000000000e-01	1.169609e-01
5.000000000000000e-01	1.169041e-01
5.100000000000000e-01	1.168456e-01
5.200000000000000e-01	1.167846e-01
5.300000000000000e-01	1.167199e-01
5.400000000000000e-01	1.166499e-01
5.500000000000000e-01	1.165720e-01
5.600000000000001e-01	1.164825e-01
5.700000000000001e-01	1.163760e-01
5.800000000000000e-01	1.162445e-01
5.900000000000000e-01	1.160764e-01
6.000000000000000e-01	1.158549e-01
6.100000000000000e-01	1.155554e-01
6.200000000000000e-01	1.151427e-01
6.300000000000000e-01	1.145667e-01
6.400000000000000e-01	1.137569e-01
6.500000000000000e-01	1.126165e-01
6.600000000000000e-01	1.110164e-01
6.700000000000000e-01	1.087912e-01
6.800000000000000e-01	1.057405e-01
6.900000000000001e-01	1.016398e-01
7.000000000000001e-01	9.626115e-02
7.100000000000000e-01	8.940282e-02
7.200000000000000e-01	8.091855e-02
7.300000000000000e-01	7.073647e-02
7.400000000000000e-01	5.886164e-02
7.500000000000000e-01	4.536368e-02
7.600000000000000e-01	3.035634e-02
7.700000000000000e-01	1.397680e-02
7.800000000000000e-01	-3.631038e-03
7.900000000000000e-01	-2.232764e-02
